post,fact_check
"La Comisión Europea pide que
se feliciten las ""fiestas"" y no
""la Navidad"" en nombre de la
inclusión
En un comunicado, la Comisión de Igualdad señala que hay Feliz Navidad a todos!🎄🎅🏻

Y los políticos que no festejan la Navidad que no se tomen vacaciones! 🙊😂","La Comisión Europea pide que se feliciten las fiestas y no la Navidad El texto de la Comisión Europea sobre las fiestas y la Navidad era de uso interno, y fue retirado"
" Una vez más, mas naciones miran hacia otro lado, mientras un niño duerme al lado de las tumbas de sus padres muertos en Siria.

La indiferencia del mundo es cómplice de esta tragedia 😢","La imagen de un niño sirio que duerme junto a las tumbas de sus padres El niño no duerme entre las tumbas de sus padres en Siria, fue una puesta en escena de un estudiante de fotografía"
" Un piloto ucraniano denominado el fantasma de Kiev  combatiendo y esquivando el ataque ruso  el héroe que derivo 6 aviones ruso 
 amén para ese valiente piloto 🙏🙏🙏🙏🙏","Video muestra piloto ucraniano escapando de ataque ruso Video de un avión que esquiva disparos pertenece a un videojuego, no a un ataque en Ucrania"
"혈압 정상수치
140/100
(mmHg)
WHO 성인 혈압 권고치 입니다
한국만 120/80....약 팔아 먹기위해
의사협회의 압력이 이렇게 막강 합니다 ","혈압 정상수치, 한국만 120/80mmHg다. 혈압 정상수치, 한국만 120/80mmHg? 사실 아님… WHO 포함, 세계 각국 보건 당국 정상 혈압 120/80mmHg 미만 권고"
"이런한심한자가 대통령이란다.
반공법폐지
국정원폐지
한미동맹반대
통일연방제
북 핵은자위적
신미주당
미치광이 김정은의 하수인.
있는 대수술 9일 ","문재인 대통령이 반미·친북 1인 시위를 벌였다. 文 대통령, 반미·친북 1인 시위했다? 2015년 역사 교과서 반대 1인 시위 사진 조작한 것"
" 우리는 백신 캠페인 이후 쓰러지는 여러 스포츠맨, 기자, 인터뷰를 보았습니다.
 물론 우리는 실제로 카메라 앞에 있는 장면만 볼 수 있습니다.

 더 나쁜 것은 다른 사람들의 삶을 책임지는 사람들에게 일어날 때입니다 ...",코로나19 백신 접종을 마친 호주 의사가 수술 도중 쓰러지는 모습이다 이 영상은 코로나19 백신이 출시되기 이전인 2020년 1월 중국에서 촬영된 것이다
" 로이터통신에 따르면 코와는 임상 3상 시험 결과 ""이버멕틴이 오미크론 변이에 대한 항바이러스 효과가 있다는 것을 확인했다""고 31일 발표했다.","일본 제약사가 구충제 이버멕틴 임상 3상에서 오미크론 치료 효과를 발견했다 일본 제약사, 구충제 이버멕틴 임상 3상에서 오미크론 치료 효과 발견했다? 오보에 기반한 잘못된 정보"
"새로운 조지아가이드스톤이 세워졌어요!!!
유엔뉴스
승인 2022.07.08 22:45 | 최종 수정 2022.07.08 23:06
자료:SpecialQForces sQuad
That new Georgia Guidestone is PERFECTO!!!
그 새로운 조지아 가이드스톤은 완벽해!!!
여러분은 어떻게 생각하십니까??
의견 0
UNNEWS 여러분은 어떻게 생각하십니까?
저는 섬칫하네요
황금 최고의 평화시대가 잠시오구
그 뒤에는 정말 무서운 
단일화 ㆍ우상시대가 온다는게
맞는것 같으네요",조지아 가이드스톤 구조물 자리에 트럼프 미국 전 대통령의 동상이 세워졌다. 이 사진은 2010년 촬영된 사진에 트럼프 美 전 대통령 흉상 사진을 합성한 것이다
" 🎯드디어 StarBucks 한국 탈출❗ 
🎯Star Bucks Korea의 주식을 전량 매각. 
1580개 점포 폐쇄. 
전세계 매출 2위 한국을 떠난다❗","스타벅스가 한국 내 모든 매장을 닫고 철수하기로 했다 스타벅스, 한국 내 모든 매장 닫는다? 회사 측 '사실무근'"
" 이태리 의사의 코로나 검사와 백신에대한 
경고‼️‼️

꼬로놔주솨안돼!경고야!コロナワクチンけ警告

즉삭제각 영상이라 또 내 놀방영상이랑 짬뽕해서 
올려놨지용~ㅎ

구독과 좋아요 주세용~💕💕","Covid-19가 인공 지능 백신 접종 식별 인증서라는 뜻이다 Covid-19, '인공 지능 백신 접종 식별 인증서'라는 뜻이다? '코로나, 바이러스, 질병, 2019'의 영문 합성어"
" 코로나는 감기수준도 안돼. 마스크안쓰기 및 자율 운동하자

*호주 인구 제일 많은  NSW주 코로나종식선언. 한 달 째 마스크안쓰고 코로나감염 0,
*미국 텍사스주 포함 16개주 마스크 자율에 맡김.폄","호주 뉴사우스웨일즈, 마스크 의무화 없이 코로나19 종식 선언했다. 호주 뉴사우스웨일즈, 마스크 의무화 없이 코로나19 종식 선언했다? 상황에 따른 마스크 의무화 시행… 해외유입 신규 감염자 여전히 기록 중"
"콜오나는 독감보다 약한
감기바이러스다.
대다수 건강한 국민은
자연면역력으로 치유가
가능하므로 콜오나백신을
맞을 필요가 없다.
콜오나는
상기도바이러스이므로
백신으로 혈액 속에 만든
인공적인 항체와 만날 수가
없어 집단면역은
불가능하다.
백신접종의 이익이 부작용
피해보다 크다는 주장은
과학적인 근거가 있나? ","코로나19는 독감보다 약한 감기 바이러스다. 코로나19, 독감보다 약한 감기 바이러스다? 전문가 ‘코로나19 유발하는 SARS-CoV-2, 감기 바이러스와 달라’"
"전라도에서만 국가유공자가
50만이라니.이게
말이되나?김대중.노무현 정권하에서
국가유공자까지 하면
70만명이다.이들 직계가족들 까지
혜택을 받으니 그 수는 상상을 초월
한다.103만 공무원중 60~70%가
이들 유공자들이다.제도 정비가
시급하다. ","국가유공자 중 50만 명에 달하는 인원이 전라도 출신이다 전라도 출신 국가유공자, 50만 명에 달한다? 정부 공식 통계보다 높은 잘못된 수치"
